moneyLabel;Okane
msgBoxCancel;Cancel
msgBoxYes;Yes
msgBoxNo;No
noEquipment;Empty
exitGameConfirmation;Unsaved data will be lost. Are you sure you want to close the game?
returnToTitleConfirmation;Unsaved data will be lost. Are you sure you want to go back to the title screen?
saveDataAlreadyExists;Save data already exists in this slot. Are you sure you wish to replace it?
systemMenuSaveGame;Save game
systemMenuLoadGame;Load game
systemMenuEditLanguage;Language
systemMenuEditMusicVolume;Music volume
systemMenuEditSfxVolume;Sound volume
systemMenuReturnToTitle;Return to title
systemMenuExitGame;Exit game
enchantmentSlots;Enchantment slots:
additionalStrikeDescription;Additional strikes: 
areaOfEffectAsSecondaryDamageDescription;Secondary AoE damage:
attackPriorityModifierDescription;Basic attack priority:
attacksIgnoreDefenseStatDescription;Ignores
autoAttackAfterAbilityDescription;Auto-attack after using ability
bonusDamageToShieldsDescription;Bonus damage to shields:
bonusElementalDamageDescription;Elemental bonus damage:
boundAbilityDescription;Bonus ability:
castPositiveStatusDurationExtensionDescription;Positive status duration (turns):
coneAttackWithBulletsAngle;Angle magnitude:
coneAttackWithBulletsBullets;Bullets:
coneAttackWithBulletsDmgReduction;Reduced dmg from mult. bullets:
costReductionDescription;Cost modifier:
counterattackAfterParryDescription;Counters upon parrying
degressiveRangeDamage;Degressive damage with distance (min.
dispelDescription;Dispels:
drainFromDamageDescription;Drain:
elementalAbilitiesCostReductionDescription;Elemental cost modifier:
elementalAffinityExploitManaRefund;MP refund when exploiting el. weakness:
elementalAffinityExploitSelfStatusDescription;granted when exploiting el. weakness
elementalAffinityModifierDescription;Elemental affinity modifier:
healingItemsEfficiencyDescription;Healing items efficiency:
hpThresholdBonusDamage;Bonus damage when target's health below
inflictStatusDescription;On-hit effect:
magicIgnoreDefenseStatDescription;Magic ignores
meleeDistanceScalingDamage;Melee damage scales with travelled distance
negativeStatusBonusDamage;Bonus damage against neg. status:
piercingProjectileDescription;Projectiles go through targets
refillOnParry;Refills upon parrying:
refundsOnKill;Refunds on target slain:
selfStatusDescription;Auto-inflicts:
statBoost;bonus
statusImmunityDescription;Immune to
targetEffectiveness;Bonus damage against
undamagedTargetBonusDamage;Bonus damage against undamaged target:
restoresResourceScaling;Restores
revivesDescription;Revives target
altruismAffinity;Altruism
altruismAffinityDescription;Gathers EP when healing another ally.
stoicismAffinity;Stoicism
stoicismAffinityDescription;Gathers EP for each negative status effect.
focusAffinity;Focus
focusAffinityDescription;Gathers EP when spending MP.
versatilityAffinity;Versatility
versatilityAffinityDescription;Gathers EP when using a different ability.
conquestAffinity;Conquest
conquestAffinityDescription;Gathers EP when defeating an enemy.
figtherAffinity;Brawl
fighterAffinityDescription;Gathers EP when damaging an enemy.
vengeanceAffinity;Vengeance
vengeanceAffinityDescription;Gathers EP when taking damage.
wrathAffinity;Wrath
wrathAffinityDescription;Gathers EP when another ally is taking damage.
precisionAffinity;Precision
precisionAffinityDescription;Gathers EP when exploiting an elemental weakness.
aidAffinity;Aid
aidAffinityDescription;Gathers EP when granting another ally positive status effects.
survivorAffinity;Survivor
survivorAffinityDescription;Gathers EP when starting your turn with low HP.
resilientAffinity;Resilient
resilientAffinityDescription;Gathers EP when starting your turn. Scales with combat duration.
dancerAffinity;Dancer
dancerAffinityDescription;Gathers EP when parrying or evading an attack.
travellerAffinity;Traveller
travellerAffinityDescription;Gathers EP when moving during combat.
secondBreathAffinity;Second Breath
secondBreathAffinityDescription;Gathers EP when another ally gets revived.
boonAffinity;Boon
boonAffinityDescription;Gathers EP when landing a critical strike.
promptCutsceneSkip;Do you wish to skip this scene?
