haalmikahBarmaid;Barmaid
haalmikahWeaponShop;Marchand d'armes
sageAberoth;Sage Aberoth
pernambulisSoldier;Soldat pernambulien
dagner;Dagner
judge;Juge
gamera;Gamera
joachim;Joachim
louga;Louga
warlok;Warlok
magnus;Magnus
introText1;Ainsi tu auras osé fouler les terres Ulyomniennes ! Dagner, regarde ce que t'a coûté ta soif de conquête !
introText2;Pernambulis n'a rien à faire ici ! Toute opposition résultera en un champ de bataille sanglant, comme ce fut le cas aujourd'hui !
introText3;Maintenant, retire tes troupes, ou je me sentirai forcé de vous achever.
introText4;Rentrons-nous à Pernambulis, mon général
introText5;Vous ne rentrerez pas ! Les faibles ne méritent pas de rentrer.
introText6;Les faibles m'empêchent de conquérir. Les faibles comme vous...
introText7;Mon général, je...
introText8;La guerre entre les deux plus grandes nations, Pernambulis au Sud et Ulyomnis au Nord, n'avait cessé de battre son plein depuis trois décénnies.
introText9;Et avec à leur chef, l'Empereur Terrakion IV Ulyomnien, et le roi Pernambulien Aërnold Gravis.
introText10;La puissance... Voilà ce qui intéresse ces peuples, la puissance issue des cristaux Novus, cette énergie immense, mais au combien instable.
introText11;Pernambulis déclare la structure volante de cristal comme lui appartenant, étant majoritairement présente sur son territoire. Mais Ulyomnis ne voit pas cela du même oeil.
introText12;Une guerre autour de la puissance suprême, une puissance qui au final... Ne représente rien par rapport à ce qui peut exister.
introText13;Cette bataille fut la dernière pour le général Dagner au sein de l'armée Pernambulienne.
introText14;Godfried Henri Markus Dagner, général de l'armée Pernambulienne, vous êtes convoqué ici-même, devant ce tribunal pour vos actes de barbaries.
introText15;Vous n'avez pas l'âme d'un général. Votre âme est celle d'un boucher, décimant aussi bien allié qu'ennemi pour assouvir votre soif de conquête.
introText16;Si mes troupes ne sont pas aptes à leur tâche, le destin est de mourir, peu importe de quelle main !
introText17;Ce n'est pas en faisant couler le sang de quiconque croisera votre regard que cela vous aidera dans vos projets.
introText18;Vous méritez un face à face avec vous-même, un questionnement intérieur... Le rôle de Général des troupes Pernambuliennes n'est plus vôtre.
introText19;Le pouvoir magistral de cette cour et le Livre des Lois m'autorisent à vous infliger le même châtiment que nos compatriotes ont subit !
introText20;La sentence était claire : le général Dagner allait être exécuté pour crime contre la nation Pernambulienne. Il n'avait à sa disposition que quelques heures dans son cachot...
introText21;Pour... hem, réfléchir. Ces lois barbares... Je n'ai jamais compris pourquoi Père ne les abolissaient pas. Le sujet de bon nombre de nos disputes à vrai dire...
introText22;Je ne mourrai peut-être pas dans la gloire finalement... Comme un faible.
introText23;Et toutes ces péripéties me font avoir des illusions dans ma propre cellule maintenant...
introText24;Mais la gloire... N'est pas une illusion !
introText25;Je peux te libérer du destin qu'ils t'ont tracé. Fais-moi confiance, et je t'apporterai la gloire que tu désires tant ! Je lis dans ton regard que tu as soif de conquête !
introText26;La dépouille du général avait été emmenée près de la baie de Gornich, au Nord du continent. Les traîtres avaient pour habitude de voir leur propre corps sombrer dans ces flots...
introText27;Les pratiques d'exécution ne ressemblaient pas à ce que Dagner faisait de ces soldats. Non. Un sort de neutralisation, suivi d'une agonie lente causée par les sortilèges de torture.
introText28;On aurait pu croire qu'il ne faisait qu'une éternelle sieste au fond de la Baie...
introText29;Maître, vous m'attendiez. Je suis enfin là.
introText30;Gamera... Tu m'as fait attendre.
introText31;Maître...
introText32;Tu sais pourquoi tu es ici, n'est-ce pas ?
introText33;Oui, maître... Mais, ne pourrions-nous pas faire autrement... ?
introText34;Que veux-tu dire ? La mort des individus de votre monde m'importe peu, pas plus que ta propre vie...
introText35;Pardon ?
introText36;J'ai tant accompli pour vous. Toutes les tâches que j'ai exécutées en votre nom et qui parfois me dégoûtaient... Sans aucune reconnaissance ?!
introText37;Tu t'attendais réellement à un soupçon de compassion de ma part ? Tu es bien naïf, pion.
introText38;Maintenant tu doutes. Tu doutes de moi et de toi-même. A quoi donc a bien pu servir ton existence jusqu'ici après tout, hein ?
introText39;Maître Dagner, je...
introText40;Silence !
introText41;Douter de sa propre vie et de la mort, c'est douter de mon pouvoir. Le monde ne doit pas en douter, il est réel et imposant !
introText42;Maintenant, disparais, enfant de faible !
introText43;Je vais devoir me charger de cette tâche personnellement. La conquête continue, Gravis. Prépare-toi.
introText44;Gamera agissait autrefois sous les ordres de Pernambulis, avec à sa tête mon père, le roi Gravis. C'est après des événements très controversants qu'il avait décidé de partir.
introText45;Il aurait pu rester au château, peut-être aurait-il pu consommer davantage d'oxygène avant de devoir rendre l'âme dans le camp qu'il avait rejoint...
introText46;C'est le même genre d'erreurs que j'allais m'apprêter à faire, encore et encore. Cette époque... Je n'avais encore rien compris. Et pourtant, cela m'a amené jusqu'ici.
introText47;Dagner... Tu es de retour.
introText48;Joachim, j'ai a te parler.
introText49;Je t'écoute.
introText50;Nos troupes doutent de notre pouvoir, de nos actes, de notre puissance. J'ai peur qu'elles aient peur de commettre des erreurs.
introText51;Que veux-tu dire ?
introText52;J'ai dû en éliminer quelques uns... Ils veulent laisser leur trace dans ce combat, en oubliant qu'ils ne sont au final que nos simples serviteurs.
introText53;Ne te soucie pas de leur sort, ni de leur rang. S'il échouent, ils échouent, ils se punissent eux-mêmes. Ce n'est plus à toi de les punir, rappelle-toi...
introText54;Oh et à propos de Gravis... Occupe-toi juste du vieux, le reste ne te regarde pas, je m'en chargerai.
introText55;Tu penses y arriver seul ? Cela me semble assez conséquent tout de même !
introText56;Ce sont les faibles qui ont besoin d'aide, n'est-ce pas ?
introText57;J'avais eu une nouvelle discussion avec mon Père à propos d'une récente exécution, le genre d'exécution que l'on réservait aux crimes contre le peuple Pernambulien, comme pour Dagner.
introText58;Comprenaient-ils vraiment la gravité de leurs actes ? Père ne voulait jamais comprendre qu'il existait peut-être un autre moyen de punir ces criminels.
introText59;Et encore une fois, susceptible et immature comme je l'étais, il m'arrivait de partir du château quelques temps, pour prendre un peu d'air frais.
introText60;J'entends beaucoup dire, sir, que sa Majesté votre Père est très... remué lorsqu'on remet ses idées en question, comme vous dites.
introText61;Vous n'avez pas idée, capitaine. Vous n'avez pas idée... Il n'y avait que Mère qui avait le don pour le calmer... et le raisonner, accessoirement.
introText62;J'avais besoin d'air. Depuis l'exécution du général Dagner, nous ne nous adressons plus un mot.
introText63;Je pense que sa Majesté est tourmenté car il n'aurait jamais dû donner du pouvoir à cet homme. Et selon vos dires, il n'aime pas se remettre en question.
introText64;Dites-moi... Seriez-vous partant pour une petite session en extérieur ? Vous m'aviez parler d'une envie d'apprendre à manier le fer.
introText65;Je pourrais vous montrer quelques gestes qui pourraient vous servir, l'envie vous prendrait de vous promener en terre moins paisible qu'ici.
introText66;Je vous remercie de votre bonne mémoire, capitaine. Je vous suis.
introText67;Alors partons. Nous avons du pain sur la planche. Et de la vermine à chasser.
quest0Dialog0;Ah, vous voilà ! Suivez-moi jusqu'au bosquet. Direction ouest puis sud. Je vous y attendrai.
quest0Dialog1;Votre sens de l'orientation semble décent. Mais qu'en est-il de votre aptitude au combat ?
quest0Dialog2;Prenez cette épée ! Vous en aurez besoin.
quest0Dialog3;Maintenant, vous devez vous en équiper. Ouvrez le menu principal et accédez à l'onglet équipement.
quest0DialogNoWeaponEquipped;Vous devez vous équiper de l'épée de que je viens de vous donner avant que nous pussions continuer.
quest0DialogNoWeaponInInventory;Comment ça vous avez PERDU votre épée ?! Bon... prenez celle-ci.
quest0Dialog4;Il y a un rat le long de l'eau. Montrez-moi un peu comment vous vous en sortez.
quest0Dialog5;Bien joué, recrue. Vous voyez la scarymbe un peu plus loin ? Donnez-lui le même traitement.
quest0Dialog6;Un jeu d'enfant vu d'ici. Félicitations !
quest0Dialog7;Une fois de retour en ville, nous ferons une petite rétrospective. Suivez-moi.
quest1Dialog0;En fait je n'avais pas songé à ce que la scarymble ait recourt à la magie. Ma parade n'était pas prête.
quest1Dialog1;Haha, c'était peut-être un moyen de vous faire prendre conscience ce qui existe dans...
quest1Dialog2;Capitaine, capitaine ! Le château... un assaut. Venu de nulle part.
quest1Dialog3;Mais que peuvent donc encore vouloir ces pestes Ulyomniennes ?!
quest1Dialog4;Mettons-nous en route immédiatement ! Qu'une partie des troupes protège le bastion. Tous les autres au château !
quest1Dialog5;Sire, tâchez de rester à couvert. Les membres de la milice se chargeront de votre protection.
quest1Dialog6;Mais capitaine, je souhaiterais pouvoir...
quest1Dialog7;Ce ne sont pas des rats et et de la vermine volante qui s'en prennent à nous cette fois !
quest1Dialog8;Soldats, tâchez de protéger le prince coûte que coûte. J'emmène le reste des troupes défendre le palais.
quest1Dialog9;Entendu, capitaine!
quest1Dialog10;Mais quelle est donc cette folie ?!
quest1Dialog11;Soldats ! Pour le Roi !
quest1Dialog12;Pour le Roi Gravis !
quest1Dialog13;Les résidents ne sont pas autorisés à sortir des bâtiments du bastion avant que la situation ne redevienne stable.
quest1Dialog14;Le bastion n'est pas pris d'assaut. Il n'y a pas âme qui vive à l'extérieur.
quest1Dialog15;Et puisque l'attaque ne vise que le palais, nous ne pouvons que présumer qu'Ulyomnis n'a rien à voir dans tout cela.
quest1Dialog16;Qu'est-ce qui vous fait dire ça, Magnus ? Vous n'avez pas mis un pied en dehors de ces murs depuis l'annonce de l'attaque !!
quest1Dialog17;Un Maître chasseur écoute, observe, attend. Il ne se presse pas et agit au moment opportun.
quest1Dialog18;Une fois le chaos initial atténué, nous pourrons intervenir. Et c'est là que vous intervenez, Sire.
quest1Dialog19;Uh...?
quest1Dialog20;Le capitaine Warlok a ordonné que le prince reste sous protection !
quest1Dialog21;Et je vous dis que les remparts du bastion sont une très bonne protection pour sa Majesté.
quest1Dialog22;Un personnage de son rang devrait au moins voir le grabuge causé par une attaque. Le jour où il sera aux commandes, il devra être prêt.
quest1Dialog23;Accordez-lui donc au minimum le droit de sortie de la milice, qu'il puisse voir son peuple et le rassurer !
quest1Dialog24;Très bien... mais nous vous le confions, Magnus. La sécurité du prince dépend aussi de vous.
quest1Dialog25;Ne vous souciez pas de Warlok. J'en discuterai avec lui autour d'une bouteille une fois ce grabuge appaisé.
quest1Dialog26;Sire, veuillez me suivre à l'extérieur.
