moneyLabel;Okane
createSaveTooltip;Sélectionnez un emplacement pour créer la sauvegarde.
loadSaveTooltip;Sélectionnez la sauvegarde à charger.
noSaveData;Aucune donnée de sauvegarde
informationLabel;Information
warningLabel;Avertissement
msgBoxOk;Ok
msgBoxCancel;Annuler
msgBoxYes;Oui
msgBoxNo;Non
noEquipment;Vide
exitGameConfirmation;Toute donnée non-sauvegardée sera perdue. Êtes-vous sûr de vouloir quitter ?
returnToTitleConfirmation;Toute donnée non-sauvegardée sera perdue. Êtes vous sûr de vouloir revenir à l'écran titre ?
saveDataAlreadyExists;Des données existent déjà à cet emplacement. Êtes-vous sûr de vouloir les les remplacer ?
systemMenuSaveGame;Sauvegarder
systemMenuLoadGame;Charger
systemMenuEditLanguage;Langue
systemMenuEditMusicVolume;Musique
systemMenuEditSfxVolume;Sons
systemMenuReturnToTitle;Ecran titre
systemMenuExitGame;Quitter le jeu
enchantmentSlots;Emplacements pour enchant. :
additionalStrikeDescription;Attaques suppl. :
areaOfEffectAsSecondaryDamageDescription;Dégâts de zone secondaires :
attackPriorityModifierDescription;Priorité auto-attaque :
attacksIgnoreDefenseStatDescription;Ignore
autoAttackAfterAbilityDescription;Auto-attaque après compétence
bonusDamageToShieldsDescription;Dégâts bonus aux boucliers :
bonusElementalDamageDescription;Dégâts élémentaires suppl. :
boundAbilityDescription;Compétence suppl. :
castPositiveStatusDurationExtensionDescription;Durée effets positifs (tours) :
coneAttackWithBulletsAngle;Amplitude :
coneAttackWithBulletsBullets;Balles :
coneAttackWithBulletsDmgReduction;Réduction dégâts si plusieurs balles :
costReductionDescription;Modification de coût :
counterattackAfterParryDescription;Contre-attaque après parade
degressiveRangeDamage;Dégâts dégressifs avec dist. (min.
dispelDescription;Purge :
drainFromDamageDescription;Drain :
elementalAbilitiesCostReductionDescription;Réduction de coût (éléments) :
elementalAffinityExploitManaRefund;Récup. MP faiblesse élém. exploitée :
elementalAffinityExploitSelfStatusDescription;octroyé qd faiblesse élém. exploitée
elementalAffinityModifierDescription;Modif. affinité élémentaire :
healingItemsEfficiencyDescription;Efficacité des objets de soin :
hpThresholdBonusDamage;Dégâts bonus si santé de la cible sous
inflictStatusDescription;Effet à l'impact :
magicIgnoreDefenseStatDescription;La magie ignore
meleeDistanceScalingDamage;Dégâts de mêlée augmente avec distance parcourue
negativeStatusBonusDamage;Dégâts bonus contre statut négatif :
piercingProjectileDescription;Projectiles traversent les cibles
refillOnParry;Regain après parade :
refundsOnKill;Regain si cible éliminée :
selfStatusDescription;Auto-inflige :
statBoost;bonus
statusImmunityDescription;Immunité à
targetEffectiveness;Dégâts bonus contre
undamagedTargetBonusDamage;Dégâts bonus si cible indemne :
restoresResourceScaling;Restaure
revivesDescription;Ranime cible
altruismAffinity;Altruisme
altruismAffinityDescription;Gain de PE en soignant un autre allié.
stoicismAffinity;Stoïcisme
stoicismAffinityDescription;Gain de PE pour chaque effect négatif.
focusAffinity;Concentration
focusAffinityDescription;Gain de PE lorsque des PM sont dépensés.
versatilityAffinity;Versatilité
versatilityAffinityDescription;Gain de PE après avoir utilisé une compétence différente.
conquestAffinity;Conquête
conquestAffinityDescription;Gain de PE lorsqu'un ennemi est vaincu.
figtherAffinity;Combattivité
fighterAffinityDescription;Gain de PE en infligeant des dégâts à un ennemi.
vengeanceAffinity;Vengeance
vengeanceAffinityDescription;Gain de PE en subissant des dégâts.
wrathAffinity;Colère
wrathAffinityDescription;Gain de PE lorsqu'un autre allié subit des dégâts.
precisionAffinity;Précision
precisionAffinityDescription;Gain de PE lorsqu'une faiblesse élémentaire est exploitée.
aidAffinity;Soutien
aidAffinityDescription;Gain de PE en conférant un effet positif à un autre allié.
survivorAffinity;Survie
survivorAffinityDescription;Gain de PE au début du tour si les PV sont bas.
resilientAffinity;Persévérance
resilientAffinityDescription;Gain de PE au début du tour. Augmente avec la durée du combat.
dancerAffinity;Envol
dancerAffinityDescription;Gain de PE lors d'une parade ou esquive.
travellerAffinity;Voyageur
travellerAffinityDescription;Gain de PE lors des déplacements en combat.
secondBreathAffinity;Second souffle
secondBreathAffinityDescription;Gain de PE lorsqu'un autre allié est ranimé.
boonAffinity;Aubaine
boonAffinityDescription;Gain de PE lorsqu'un coup critique est infligé.
promptCutsceneSkip;Passer la scène ?
